1st Floor; deleted; 202206; deleted; 500;0;100;0;1100;
1st Floor; deleted; 202206; deleted; 500;0;100;0;500;
1st Floor; deleted; 202206; deleted; 500;0;100;0;1100;
1st Floor; deleted; 202206; deleted; 400;0;100;0;700;
1st Floor; deleted; 202206; deleted; 500;0;100;0;1000;
1st Floor; deleted; 202206; deleted; 500;0;100;0;200;
1st Floor; deleted; 202206; deleted; 400;0;0;0;300;
1st Floor; deleted; 202206; deleted; 500;0;100;0;0;
1st Floor; deleted; 202206; deleted; 500;0;100;0;800;
1st Floor; deleted; 202206; deleted; 500;0;100;0;400;
1st Floor; deleted; 202206; deleted; 500;0;100;0;1000;
1st Floor; deleted; 202206; deleted; 400;0;100;0;600;
1st Floor; deleted; 202206; deleted; 500;0;100;0;400;
1st Floor; deleted; 202206; deleted; 500;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;0;0;100;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;700;
1st Floor; deleted; 202206; deleted; 400;0;100;0;300;
1st Floor; deleted; 202206; deleted; 400;0;100;0;800;
1st Floor; deleted; 202206; deleted; 400;0;100;0;500;
1st Floor; deleted; 202206; deleted; 400;0;100;0;600;
1st Floor; deleted; 202206; deleted; 400;0;100;0;200;
1st Floor; deleted; 202206; deleted; 400;0;100;0;200;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;600;
1st Floor; deleted; 202206; deleted; 400;0;100;0;100;
1st Floor; deleted; 202206; deleted; 500;0;100;0;800;
1st Floor; deleted; 202206; deleted; 400;0;100;0;100;
1st Floor; deleted; 202206; deleted; 400;0;100;0;300;
1st Floor; deleted; 202206; deleted; 400;0;100;0;100;
1st Floor; deleted; 202206; deleted; 400;0;0;0;200;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;700;
1st Floor; deleted; 202206; deleted; 400;0;100;0;300;
1st Floor; deleted; 202206; deleted; 400;0;100;0;700;
1st Floor; deleted; 202206; deleted; 400;0;100;0;100;
1st Floor; deleted; 202206; deleted; 400;0;100;0;200;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;0;0;200;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;100;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;100;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;100;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;0;0;200;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;200;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;200;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;100;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;0;0;200;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;600;
1st Floor; deleted; 202206; deleted; 400;0;100;0;300;
1st Floor; deleted; 202206; deleted; 400;0;100;0;800;
1st Floor; deleted; 202206; deleted; 400;0;100;0;100;
1st Floor; deleted; 202206; deleted; 400;0;100;0;300;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;0;0;200;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;200;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;100;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;100;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;0;0;200;
